BOT NAME: random
15673136 901303718 6422088 1966435954
8 2 18 0
16 7 19 0
8 6 17 0
9 3 18 0
10 3 16 0
12 2 14 0
9 1 12 0
5 4 13 0
9 6 15 4
16 7 17 0
10 4 10 0
8 7 14 0
12 6 12 0
2 2 9 0
10 4 7 0
10 8 10 0
9 6 9 0
7 2 5 0
12 7 7 0
6 4 5 0
4 4 2 0
12 6 4 0
0 4 19 0
17 1 18 0
10 2 14 0
18 5 16 1
16 3 13 0
0 3 11 0
14 1 10 0
6 1 8 0
8 6 15 1
10 7 14 0
9 8 18 3
18 2 6 0
10 5 9 0
8 7 12 0
10 4 4 0
18 7 7 1
18 7 7 0
10 4 2 0
2 4 0 0
9 8 5 0
17 3 18 0
16 3 15 0
17 1 18 0
6 2 18 0
14 3 15 0
10 2 13 0
2 4 13 0
12 6 17 4
2 8 17 0
6 7 15 0
12 5 12 0
17 7 12 0
13 8 12 0
7 5 10 0
10 4 8 0
8 1 10 2
10 1 9 0
15 2 9 0
8 1 6 0
6 7 8 0
8 3 6 0
17 0 4 0
7 3 1 0
18 5 4 0
12 6 3 0
7 4 2 0
12 7 2 0
