BOT NAME: srvive
16 1 19 0
5 6 19 0
10 4 18 0
7 5 17 0
8 8 18 0
18 2 18 0
0 8 18 0
17 9 18 0
10 1 18 0
0 3 19 0
16 6 19 0
10 2 18 0
8 4 18 0
6 0 18 0
17 8 18 0
1 6 18 0
12 4 18 0
15 9 18 0
10 1 17 0
13 2 18 0
7 6 18 0
0 4 18 0
10 7 17 0
17 3 18 0
10 1 18 0
15 2 18 0
10 9 18 0
18 6 18 0
2 5 18 0
8 7 18 0
12 8 18 0
5 4 18 0
14 1 18 0
0 1 19 0
8 2 17 0
3 9 18 0
18 6 19 0
10 7 18 0
8 4 18 0
2 5 17 0
10 3 16 0
12 7 17 0
12 8 16 0
17 0 18 0
6 1 18 0
1 6 18 0
4 5 18 0
17 4 18 0
12 2 18 0
10 6 16 0
7 8 18 0
10 8 16 0
1 0 18 0
15 9 18 0
12 0 18 0
6 3 18 0
12 1 18 0
8 5 18 0
17 7 18 0
3 6 18 0
17 0 18 0
8 2 18 0
4 9 18 0
11 4 18 0
6 8 18 0
0 2 19 0
0 4 19 0
12 0 18 0
10 7 18 0
14 6 18 0
8 2 18 0
7 2 17 0
14 5 17 0
15 8 18 0
17 9 18 0
11 8 17 0
0 3 18 0
8 5 17 0
1 1 17 0
18 4 16 0
17 0 18 0
9 7 18 0
6 6 18 0
15 9 18 0
10 1 18 0
0 4 19 0
9 2 18 0
5 6 19 0
18 8 19 0
2 4 18 0
2 1 18 0
18 8 18 0
11 5 17 0
0 8 18 1
7 7 16 0
15 2 18 0
17 0 18 0
9 3 18 0
10 3 16 0
5 7 16 0
17 9 18 0
7 3 16 0
8 7 15 0
15 1 18 0
17 5 18 0
14 2 18 0
6 0 18 0
12 8 18 0
17 4 18 0
10 7 18 0
17 5 18 0
13 0 17 0
10 3 18 0
7 7 17 0
5 2 17 0
15 9 17 0
0 3 18 0
8 6 17 0
3 9 18 0
7 6 18 0
16 1 19 0
13 0 17 0
6 4 18 0
10 7 17 0
15 1 17 0
12 2 18 0
10 9 17 0
14 6 17 0
10 4 17 0
7 1 17 0
9 8 18 0
18 5 19 0
8 7 18 0
0 1 19 0
13 4 18 0
17 3 18 0
16 6 18 0
10 6 16 0
4 9 18 0
17 8 18 0
0 1 18 0
12 6 17 0
15 2 18 0
2 4 17 0
11 5 15 0
15 9 17 0
1 0 16 0
11 3 16 0
10 9 15 0
17 7 16 0
11 2 16 0
10 5 16 0
15 6 16 0
6 0 18 0
4 3 18 0
11 1 18 0
8 8 18 0
18 7 18 0
6 4 18 0
17 9 18 0
14 1 18 0
0 1 19 0
14 4 18 0
5 7 19 0
13 7 18 0
17 0 18 0
12 1 18 0
18 5 19 0
4 9 18 0
8 2 18 0
16 5 19 0
17 8 18 0
10 1 17 0
9 5 18 0
10 4 18 0
9 2 17 0
0 1 16 0
8 2 14 0
10 5 16 0
8 4 14 0
17 7 18 0
9 6 16 0
15 9 18 0
8 5 17 0
13 8 18 0
10 3 16 0
6 0 18 0
15 9 18 0
10 1 17 0
10 7 18 0
8 2 17 0
11 5 18 0
9 4 18 0
7 2 17 0
16 8 19 0
0 7 19 0
8 8 17 0
3 6 17 0
17 0 18 0
10 2 17 0
8 7 16 0
3 4 18 0
17 9 18 0
12 4 18 0
7 7 17 0
12 2 18 0
2 3 17 0
10 1 18 0
10 1 17 0
9 5 18 0
17 7 18 0
8 2 17 0
10 9 18 0
17 6 17 0
4 5 18 0
17 0 18 0
10 4 18 0
13 8 18 0
11 2 18 0
4 5 17 0
10 4 16 0
9 1 17 0
18 8 16 0
10 1 15 0
14 8 17 0
0 7 17 0
17 9 18 0
16 4 19 0
2 8 17 0
9 4 17 0
17 2 18 0
10 1 18 0
13 0 16 0
0 8 17 0
3 9 15 0
9 3 17 0
6 6 17 0
11 7 16 0
10 2 17 0
14 4 17 0
12 4 17 0
10 1 17 0
6 6 18 0
